New_ID,Sex,Age,Ethnicity,,
4001,'Male',19,'Igbo',,336
4002,'Male',23,'Igbo',,190
4003,'Female',18,'Ikwerre',,
4004,'Male',23,'Annang',,% Actual subjects = 526
4005,'Female',17,'Igbo',,% Male subjects = 336
4006,'Female',26,'Ishan',,% Female subjects = 190
4007,'Female',29,'Igbo',,% voices = 3964
4008,'Female',18,'Ijaw',,% Male voice = 2149
4010,'Male',24,'Igbo',,% Female voice = 1815
4011,'Female',22,'Igbo',,
4012,'Female',20,'Igbo',,
4020,'Female',25,'Igbo',,
4021,'Female',21,'Igbo',,
4022,'Male',22,'Igbo',,
4026,'Male',20,'Igbo',,
4028,'Female',28,'Hausa',,
4029,'Female',17,'Urhobo',,
4030,'Male',16,'Igbo',,
4032,'Female',57,'Igbo',,
4033,'Female',19,'Igbo',,
4036,'Male',21,'Igbo',,
4037,'Male',19,'Igbo',,
4038,'Female',21,'Ibibio',,
4040,'Female',20,'Igbo',,
4042,'Male',24,'Urhobo',,
4043,'Male',17,'Igbo',,
4048,'Female',23,'Igbo',,
4051,'Male',18,'Igbo',,
4055,'Female',16,'Igbo',,
4056,'Male',28,'Igbo',,
4057,'Male',18,'Igbo',,
4059,'Female',19,'Igbo',,
4061,'Male',24,'Igbo',,
4062,'Female',17,'Igbo',,
4063,'Male',21,'Igbo',,
4065,'Male',22,'Ukwuani',,
4066,'Male',36,'Igbo',,
4067,'Female',19,'Igbo',,
4068,'Female',21,'Igbo',,
4069,'Male',27,'Igbo',,
4070,'Male',26,'Igbo',,
4073,'Male',17,'Igbo',,
4074,'Male',17,'Igbo',,
4075,'Female',19,'Ibibio',,
4076,'Male',21,'Idoma',,
4078,'Male',26,'Igbo',,
4079,'Male',31,'Idoma',,
4082,'Male',18,'Igbo',,
4083,'Female',20,'Yoruba',,
4085,'Male',19,'Igbo',,
4086,'Male',22,'Igbo',,
4087,'Male',57,'Igbo',,
4088,'Female',50,'Ibibio',,
4089,'Male',31,'Igbo',,
4092,'Female',18,'Igbo',,
4096,'Female',17,'Igbo',,
4097,'Male',24,'Igbo',,
4099,'Male',18,'Igbo',,
4100,'Male',18,'Igbo',,
4103,'Male',24,'Igbo',,
4104,'Male',17,'Igbo',,
4105,'Female',17,'Igbo',,
4107,'Male',25,'Igbo',,
4109,'Female',26,'Igbo',,
4113,'Female',24,'Yoruba',,
4114,'Male',19,'Igbo',,
4120,'Male',19,'Igbo',,
4123,'Male',29,'Ukwani',,
4124,'Female',21,'Igbo',,
4125,'Male',18,'Igbo',,
4126,'Male',20,'Igbo',,
4127,'Male',18,'Igbo',,
4128,'Male',25,'Igbo',,
4130,'Female',24,'Igbo',,
4132,'Female',24,'Igbo',,
4133,'Male',16,'Igbo',,
4134,'Male',37,'Igbo',,
4139,'Female',23,'Igbo',,
4141,'Male',19,'Igbo',,
4143,'Male',15,'Igbo',,
4147,'Male',26,'Igbo',,
4149,'Male',21,'Igala',,
4150,'Male',20,'Igbo',,
4152,'Female',17,'Igbo',,
4153,'Male',25,'Igbo',,
4156,'Male',20,'Igbo',,
4157,'Male',24,'Igbo',,
4160,'Female',18,'Igbo',,
4162,'Male',25,'Igbo',,
4164,'Male',35,'Igbo',,
4165,'Male',21,'Igbo',,
4169,'Male',22,'Kaire-Kaire',,
4170,'Male',20,'Igbo',,
4171,'Male',20,'Igbo',,
4177,'Male',28,'Igbo',,
